index,count f,candidates f,True_Value f,count g,candidates g,True_Value g
310,1,"(1,)","(1,)",1,"(0,)","(0,)"
311,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
312,1,"(1,)","(1,)",1,"(-1,)","(-1,)"
313,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
314,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
315,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
316,1,"(0,)","(0,)",1,"(0,)","(0,)"
317,5,"(-6, -2, 0, 3, 5)","(0,)",1,"(1,)","(1,)"
318,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
319,1,"(-1,)","(-1,)",1,"(3,)","(3,)"
320,1,"(-2,)","(-2,)",1,"(-1,)","(-1,)"
321,1,"(0,)","(0,)",1,"(2,)","(2,)"
322,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
323,1,"(2,)","(2,)",1,"(0,)","(0,)"
324,1,"(0,)","(0,)",1,"(0,)","(0,)"
325,7,"(-7, -5, -3, -1, 2, 4, 9)","(-1,)",1,"(2,)","(2,)"
326,1,"(2,)","(2,)",1,"(-1,)","(-1,)"
327,1,"(1,)","(1,)",1,"(1,)","(1,)"
328,1,"(2,)","(2,)",1,"(0,)","(0,)"
329,7,"(-9, -6, -1, 0, 1, 8, 9)","(0,)",1,"(1,)","(1,)"
330,1,"(-1,)","(-1,)",1,"(0,)","(0,)"
331,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
332,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
333,1,"(-2,)","(-2,)",1,"(2,)","(2,)"
334,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
335,1,"(0,)","(0,)",1,"(-3,)","(-3,)"
336,1,"(2,)","(2,)",1,"(-2,)","(-2,)"
337,1,"(-2,)","(-2,)",8,"(-10, -7, 0, 1, 2, 3, 4, 6)","(0,)"
338,1,"(-1,)","(-1,)",1,"(1,)","(1,)"
339,5,"(-3, -1, 1, 2, 6)","(2,)",1,"(0,)","(0,)"
340,5,"(-10, -2, -1, 3, 4)","(-1,)",1,"(1,)","(1,)"
341,3,"(-7, 1, 5)","(1,)",1,"(0,)","(0,)"
342,1,"(-3,)","(-3,)",1,"(-1,)","(-1,)"
343,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
344,13,"(-7, -6, -5, -3, -2, -1, 0, 1, 3, 5, 8, 9, 10)","(0,)",1,"(0,)","(0,)"
345,1,"(0,)","(0,)",1,"(0,)","(0,)"
346,1,"(2,)","(2,)",1,"(2,)","(2,)"
347,13,"(-9, -8, -7, -5, -3, -2, -1, 1, 2, 4, 5, 7, 8)","(1,)",1,"(0,)","(0,)"
348,1,"(0,)","(0,)",1,"(-2,)","(-2,)"
349,1,"(0,)","(0,)",1,"(-1,)","(-1,)"
350,1,"(2,)","(2,)",1,"(1,)","(1,)"
351,3,"(-10, -5, 0)","(0,)",1,"(-1,)","(-1,)"
352,1,"(0,)","(0,)",1,"(0,)","(0,)"
353,1,"(-1,)","(-1,)",1,"(-1,)","(-1,)"
